Date,Close,Volume,Open,High,Low,returns,MA_7,MA_30,volatility
2026-03-30,246.63,39446210,250.07,250.87,245.51,,,,
2026-03-27,248.8,47900000,253.9,255.493,248.07,0.008798605198069964,,,
2026-03-26,252.89,41796650,252.115,257.0,250.77,0.016438906752411553,,,
2026-03-25,252.62,28476670,254.095,255.0,251.6,-0.001067657874965322,,,
2026-03-24,251.64,45152290,250.35,254.825,249.55,-0.0038793444699549706,,,
2026-03-23,251.49,40546110,253.97,254.6,250.28,-0.0005960896518835135,,,
2026-03-20,247.99,88331080,247.975,249.1999,246.0,-0.013917054356037961,250.2942857142857,,
2026-03-19,248.96,34864080,249.4,251.83,247.3,0.003911448042259735,250.62714285714284,,0.009658942504746679
2026-03-18,249.94,35757870,252.625,254.94,249.0,0.003936375321336616,250.79,,0.009200843041884283
2026-03-17,254.23,32361610,252.955,255.13,252.18,0.017164119388653143,250.98142857142858,,0.009409456204107826
2026-03-16,252.82,32074210,252.105,253.885,249.88,-0.005546158989891081,251.01,,0.009704688064845358
2026-03-13,250.12,36929990,255.48,256.33,249.52,-0.01067953484692663,250.79285714285717,,0.010484657101925674
2026-03-12,255.76,40794020,258.66,258.95,254.18,0.022549176395330273,251.40285714285716,,0.013717511717487255
2026-03-11,260.81,26218930,261.09,262.13,259.55,0.019745073506412414,253.23428571428573,,0.012882816473608796
2026-03-10,260.83,30590770,257.645,262.48,256.95,7.668417622008761e-05,254.93,,0.013129950679340505
2026-03-09,259.88,38218530,255.69,261.15,253.6805,-0.0036422190698922607,256.34999999999997,,0.013700615034693529
2026-03-06,257.46,41120040,258.63,258.77,254.37,-0.009311990149299731,256.81142857142856,,0.013652062203947324
2026-03-05,260.29,49658630,260.79,261.555,257.25,0.010991998757088561,257.87857142857143,,0.013582672291392229
2026-03-04,262.52,39803120,264.65,266.15,261.42,0.008567367167390039,259.65000000000003,,0.01190151635202292
2026-03-03,263.75,38568920,263.48,265.56,260.13,0.004685357306110083,260.7914285714286,,0.00972751421698253
2026-03-02,264.72,41827950,262.41,266.53,260.2,0.0036777251184834103,261.34999999999997,,0.007039781943217583
2026-02-27,264.18,72366510,272.81,272.81,262.89,-0.002039891205802391,261.8285714285714,,0.007187543323031375
2026-02-26,272.95,32345110,274.945,276.11,270.795,0.033197062608827155,263.6957142857143,,0.01334659969656347
2026-02-25,274.23,33714340,271.78,274.94,271.05,0.004689503572082865,266.0914285714286,,0.011379593509523094
2026-02-24,272.14,47014620,267.86,274.89,267.71,-0.007621339751303746,267.78428571428566,,0.01293488997345908
2026-02-23,266.18,37308160,263.49,269.43,263.381,-0.021900492393620907,268.3071428571428,,0.016686186306147634
2026-02-20,264.58,42070500,258.97,264.75,258.16,-0.006010970020287054,268.42571428571426,,0.016898201349330646
2026-02-19,260.58,30845290,262.6,264.48,260.05,-0.01511830070300102,267.8342857142857,,0.01779184538921734
2026-02-18,264.35,34203340,263.6,266.82,262.45,0.014467725842351786,267.85857142857145,,0.018865083516298214
2026-02-17,263.88,58469090,258.05,266.29,255.54,-0.0017779459050502044,266.5628571428571,258.574,0.012101886477882885
2026-02-13,255.78,56290670,262.01,262.23,255.45,-0.03069577080491126,263.9271428571429,258.879,0.014627133397243827
2026-02-12,261.73,81077230,275.59,275.72,260.18,0.02326217843459233,262.44,259.31,0.019305988283630043
2026-02-11,275.5,51931280,274.695,280.18,274.45,0.052611469835326385,263.7714285714286,260.0636666666667,0.027494488626780732
2026-02-10,273.68,34376900,274.885,275.37,272.94,-0.006606170598910999,265.0714285714286,260.7656666666667,0.02753600122423827
2026-02-09,274.62,44623400,277.905,278.2,271.7,0.0034346682256649608,267.07714285714286,261.53166666666664,0.026114680827319107
2026-02-06,278.12,50453410,277.12,280.905,276.925,0.012744883839487242,269.04428571428576,262.4193333333333,0.026049555151651454
2026-02-05,275.91,52977440,278.13,279.5,273.23,-0.007946210268948595,270.7628571428572,263.35,0.026518483700199717
2026-02-04,276.49,90545710,272.285,278.95,272.285,0.002102134754086382,273.7214285714286,264.2676666666667,0.02117110660325314
2026-02-03,269.48,64394660,269.2,271.875,267.61,-0.02535353900683568,274.8285714285715,264.919,0.02435510806982972
2026-02-02,270.01,73913430,260.03,270.49,259.205,0.0019667507792784367,274.0442857142857,265.445,0.01208924731644509
2026-01-30,259.48,92443410,255.165,261.8999,252.18,-0.03899855560905141,272.0157142857143,265.66700000000003,0.018359015367226672
2026-01-29,258.28,67253010,258.0,259.65,254.41,-0.004624633883151041,269.68142857142857,265.939,0.017808139651074154
2026-01-28,256.44,41287970,257.65,258.855,254.51,-0.007124051417066624,266.5842857142857,265.96166666666664,0.015239601077631162
2026-01-27,258.27,49648270,259.17,261.95,258.21,0.007136172204024183,264.0642857142857,265.877,0.01679982274666521
2026-01-26,255.41,55969230,251.48,256.56,249.8,-0.011073682580245436,261.05285714285714,265.69633333333337,0.016033871635443616
2026-01-23,248.04,41688980,247.32,249.41,244.68,-0.02885556556125446,257.98999999999995,265.3016666666667,0.01659559776030275
2026-01-22,248.35,39708340,249.2,251.0,248.15,0.0012497984196098155,254.8957142857143,264.998,0.01649946377274691
2026-01-21,247.65,54641730,248.7,251.56,245.18,-0.0028186027783370093,253.2057142857143,264.57666666666665,0.011431683455888996
2026-01-20,246.7,80267520,252.73,254.79,243.42,-0.0038360589541692747,251.55142857142854,264.0493333333333,0.011458102174450566
2026-01-16,255.53,72142770,257.9,258.9,254.93,0.03579246047831375,251.42142857142858,263.7753333333333,0.01962434940863575
2026-01-15,258.21,39388560,260.65,261.04,257.05,0.010488005322271343,251.41285714285712,263.55833333333334,0.019876546135062432
2026-01-14,259.96,40019420,259.49,261.82,256.71,0.006777429224274822,252.06285714285713,263.41766666666666,0.019336579068331312
2026-01-13,261.05,45730850,258.72,261.81,258.39,0.00419295276196352,253.92142857142855,263.021,0.013508231294298019
2026-01-12,260.25,45263770,259.16,261.3,256.8,-0.0030645470216433823,255.62142857142857,262.555,0.013927869198170286
2026-01-09,259.37,39996970,259.075,260.21,256.22,-0.0033813640730067096,257.29571428571427,262.12933333333336,0.013994044345147696
2026-01-08,259.04,50419340,257.02,259.29,255.7,-0.0012723136831552795,259.0585714285714,261.8913333333333,0.01370255138746741
2026-01-07,260.33,48309800,263.2,263.68,259.81,0.00497992588017282,259.7442857142857,261.74966666666666,0.005333745858089307
2026-01-06,262.36,52352090,267.0,267.55,262.12,0.007797795106211369,260.33714285714285,261.809,0.004740875120703376
2026-01-05,267.26,45647190,270.64,271.51,266.14,0.01867662753468502,261.38,261.906,0.007778314536161405
2026-01-02,271.01,37838050,272.255,277.84,269.0,0.014031280401107571,262.80285714285714,262.14366666666666,0.008660006284267224
2025-12-31,271.86,27293640,273.06,273.68,271.75,0.0031364156304196644,264.4614285714286,262.67966666666666,0.00793740225346584
2025-12-30,273.08,22139620,272.81,274.08,272.28,0.004487603913779115,266.42,263.058,0.006819338141615374
2025-12-29,273.76,23715210,272.69,274.36,272.35,0.0024901127874614737,268.52285714285716,262.99999999999994,0.006135359336727898
